ID_pedido,años_experiencia_colaborador,clasificacion_colaborador,latitud_tienda,longitud_tienda,latitud_entrega,longitud_entrega,fecha_pedido,hora_pedido,hora_retirada,clima,trafico,vehiculo,area,categoria_producto,tiempo_entrega
ialx566343618,8,4.9,22.745049,75.892471,22.765049,75.912471,2022-03-19,11:30:00,11:45:00,Soleado,Alto,Motocicleta,Urbano,Ropa,120
akqg208421122,10,4.5,12.913041,77.683237,13.043041,77.813237,2022-03-25,19:45:00,19:50:00,Lluvioso,Congestion,Scooter,Metropolitano,Electrónicos,165
njpu434582536,16,4.4,12.914264,77.6784,12.924264,77.6884,2022-03-19,08:30:00,08:45:00,Tormenta,Bajo,Motocicleta,Urbano,Deportes,130
rjto796129700,8,4.7,11.003669,76.976494,11.053669,77.026494,2022-04-05,18:00:00,18:10:00,Soleado,Medio,Motocicleta,Metropolitano,Cosméticos,105
zguw716275638,11,4.6,12.972793,80.249982,13.012793,80.289982,2022-03-26,13:30:00,13:45:00,Nublado,Alto,Scooter,Metropolitano,Juguetes,150
fxuu788413734,16,4.8,17.431668,78.408321,17.461668,78.438321,2022-03-11,21:20:00,21:30:00,Nublado,Congestion,Motocicleta,Urbano,Juguetes,130
njmo150975311,10,4.7,23.369746,85.33982,23.479746,85.44982,2022-03-04,19:15:00,19:30:00,,Congestion,Scooter,Metropolitano,Juguetes,200
jvjc772545076,9,4.6,12.352058,76.60665,12.482058,76.73665,2022-03-14,17:25:00,17:30:00,Nublado,Medio,Motocicleta,Metropolitano,,160
uaeb808891380,16,4.8,17.433809,78.386744,17.563809,78.516744,2022-03-20,20:55:00,21:05:00,Lluvioso,Congestion,Motocicleta,Metropolitano,Electrónicos,170
bgvc052754213,9,4.2,30.327968,78.046106,30.397968,78.116106,2022-02-12,21:55:00,22:10:00,,Congestion,Motocicleta,Metropolitano,Juguetes,230
vmau710398846,17,4.7,10.003064,76.307589,10.043064,76.347589,2022-02-13,14:55:00,15:05:00,Lluvioso,Alto,Motocicleta,Metropolitano,Cosméticos,115
